userID,artistID,value
2,52,1
2,63,1
2,73,1
2,96,1
2,995,1
2,6177,1
3,101,1
4,51,1
4,64,1
4,70,1
4,80,1
4,99,1
4,151,1
4,152,1
4,153,1
4,157,1
4,162,1
4,167,1
4,170,1
4,173,1
4,174,1
4,184,1
4,188,1
4,192,1
4,193,1
4,463,1
4,467,1
4,632,1
4,706,1
4,918,1
4,920,1
4,1009,1
4,1248,1
4,1295,1
4,1385,1
4,1713,1
4,1745,1
4,2370,1
4,2961,1
4,3863,1
4,3988,1
5,53,1
5,182,1
5,190,1
5,195,1
5,197,1
5,202,1
5,215,1
5,222,1
5,233,1
5,447,1
5,618,1
5,733,1
5,863,1
5,951,1
5,1123,1
5,1239,1
5,2786,1
5,3749,1
6,712,1
7,55,1
8,291,1
9,8,1
9,209,1
9,221,1
9,229,1
9,258,1
9,370,1
9,371,1
9,374,1
9,376,1
9,405,1
9,481,1
9,488,1
9,490,1
9,493,1
9,504,1
9,518,1
9,920,1
9,955,1
9,966,1
9,1131,1
9,1375,1
9,1378,1
9,1475,1
9,1519,1
9,1874,1
9,2051,1
9,2102,1
9,2369,1
9,2544,1
9,2546,1
9,2941,1
9,3302,1
9,3427,1
9,3946,1
9,4179,1
9,4342,1
9,4980,1
9,5073,1
9,6730,1
10,196,1
10,208,1
10,211,1
10,217,1
10,416,1
10,418,1
10,430,1
10,431,1
10,440,1
10,3258,1
11,89,1
11,230,1
11,234,1
11,257,1
11,326,1
11,455,1
11,456,1
11,458,1
11,471,1
11,540,1
11,1450,1
11,1580,1
11,2179,1
11,3576,1
12,16,1
12,36,1
12,45,1
12,56,1
12,58,1
12,67,1
12,71,1
12,72,1
12,88,1
12,89,1
12,154,1
12,159,1
12,173,1
12,189,1
12,190,1
12,191,1
12,198,1
12,209,1
12,217,1
12,227,1
12,229,1
12,230,1
12,234,1
12,237,1
12,238,1
12,288,1
12,289,1
12,299,1
12,300,1
12,318,1
12,320,1
12,325,1
12,327,1
12,333,1
12,344,1
12,349,1
12,371,1
12,377,1
12,378,1
12,405,1
12,407,1
12,412,1
12,423,1
12,436,1
12,458,1
12,464,1
12,468,1
12,474,1
12,475,1
12,484,1
12,486,1
12,487,1
12,489,1
12,491,1
12,492,1
