userID,tagID,value
2,13,1
2,15,1
2,18,1
2,21,1
2,14,1
2,23,1
2,40,1
2,20,1
2,22,1
2,26,1
2,37,1
2,39,1
2,19,1
2,24,1
2,16,1
2,17,1
2,25,1
2,42,1
2,32,1
2,33,1
2,34,1
2,38,1
2,35,1
3,14,1
3,15,1
3,33,1
3,44,1
3,46,1
3,47,1
3,49,1
3,56,1
3,65,1
3,71,1
3,18,1
3,69,1
3,34,1
3,66,1
3,70,1
4,16,1
4,25,1
4,18,1
4,13,1
4,73,1
4,14,1
4,75,1
4,74,1
4,79,1
4,24,1
4,80,1
4,78,1
4,88,1
4,72,1
4,82,1
4,85,1
4,76,1
4,84,1
4,87,1
4,89,1
4,1,1
4,91,1
4,90,1
4,86,1
4,15,1
4,92,1
4,7,1
4,6,1
4,83,1
5,95,1
5,94,1
5,98,1
5,96,1
5,97,1
6,120,1
6,121,1
6,102,1
6,103,1
6,122,1
6,123,1
7,127,1
7,128,1
8,24,1
8,130,1
8,30,1
8,131,1
8,73,1
8,134,1
8,127,1
9,73,1
9,138,1
9,139,1
9,141,1
9,137,1
9,140,1
9,144,1
9,71,1
9,145,1
9,147,1
9,28,1
9,30,1
9,79,1
9,89,1
9,160,1
10,81,1
10,165,1
10,79,1
10,78,1
11,24,1
11,170,1
11,167,1
11,109,1
11,73,1
11,169,1
11,102,1
12,61,1
12,179,1
12,190,1
12,18,1
12,6,1
12,30,1
12,189,1
12,79,1
12,181,1
12,39,1
12,187,1
12,24,1
12,134,1
12,73,1
12,81,1
12,102,1
12,78,1
12,1,1
12,5,1
12,7,1
12,82,1
12,109,1
12,2,1
12,176,1
12,182,1
12,84,1
12,192,1
12,195,1
12,169,1
12,170,1
12,103,1
12,197,1
12,167,1
12,185,1
12,193,1
12,183,1
12,177,1
12,184,1
12,198,1
12,72,1
12,178,1
12,180,1
12,186,1
12,89,1
12,188,1
12,196,1
12,191,1
12,194,1
12,14,1
12,90,1
13,18,1
13,24,1
13,39,1
13,124,1
13,130,1
13,200,1
13,201,1
13,202,1
13,203,1
13,204,1
13,208,1
13,199,1
13,209,1
13,49,1
13,134,1
13,167,1
13,206,1
13,207,1
13,213,1
13,214,1
13,215,1
13,228,1
13,229,1
13,230,1
13,231,1
13,232,1
13,233,1
13,234,1
13,210,1
13,226,1
13,227,1
13,216,1
14,16,1
14,25,1
14,269,1
14,275,1
14,109,1
14,242,1
14,245,1
14,247,1
14,250,1
14,266,1
14,271,1
14,248,1
14,249,1
14,268,1
14,75,1
14,253,1
14,259,1
14,252,1
14,182,1
14,88,1
14,24,1
14,181,1
14,239,1
14,240,1
14,241,1
14,251,1
14,202,1
14,260,1
14,261,1
14,262,1
14,276,1
14,265,1
14,273,1
14,279,1
14,256,1
14,257,1
14,264,1
14,243,1
14,244,1
14,258,1
15,18,1
15,90,1
15,213,1
15,281,1
15,283,1
15,285,1
15,286,1
15,287,1
15,290,1
16,18,1
16,79,1
16,81,1
16,130,1
16,134,1
16,296,1
16,24,1
16,109,1
16,167,1
16,297,1
16,319,1
16,293,1
16,308,1
16,73,1
16,291,1
16,185,1
16,39,1
16,102,1
16,103,1
16,199,1
16,292,1
16,231,1
16,306,1
16,299,1
16,302,1
16,321,1
16,304,1
16,301,1
16,78,1
16,309,1
17,200,1
18,23,1
18,90,1
18,327,1
20,343,1
20,344,1
20,59,1
20,178,1
20,15,1
20,47,1
21,18,1
21,24,1
21,25,1
21,39,1
21,49,1
21,79,1
21,81,1
21,90,1
21,127,1
21,130,1
21,187,1
21,200,1
21,203,1
21,208,1
21,308,1
21,309,1
21,346,1
21,347,1
21,348,1
21,350,1
21,351,1
21,352,1
21,357,1
21,358,1
21,360,1
21,363,1
21,366,1
21,73,1
21,349,1
21,353,1
21,354,1
21,362,1
21,364,1
21,371,1
21,356,1
21,165,1
21,285,1
21,370,1
21,355,1
21,319,1
21,368,1
21,195,1
22,5,1
22,69,1
22,311,1
23,32,1
23,61,1
23,387,1
23,25,1
23,73,1
23,191,1
23,72,1
23,79,1
23,80,1
23,192,1
23,33,1
23,14,1
23,391,1
23,16,1
23,182,1
23,78,1
23,229,1
23,170,1
23,275,1
23,13,1
23,88,1
23,309,1
23,394,1
23,179,1
23,18,1
23,86,1
23,82,1
23,190,1
23,188,1
23,74,1
23,395,1
23,199,1
23,396,1
23,352,1
23,388,1
23,389,1
23,393,1
23,81,1
23,181,1
23,194,1
23,91,1
23,386,1
23,189,1
23,6,1
24,292,1
24,81,1
24,39,1
25,209,1
25,24,1
25,401,1
25,400,1
25,405,1
25,167,1
25,30,1
25,399,1
25,195,1
25,127,1
25,321,1
26,426,1
26,73,1
26,285,1
26,407,1
26,412,1
26,1,1
26,127,1
26,386,1
26,415,1
26,417,1
26,406,1
26,414,1
26,76,1
26,408,1
26,72,1
26,409,1
26,91,1
27,78,1
27,81,1
27,442,1
27,72,1
27,134,1
27,79,1
27,424,1
27,180,1
27,445,1
27,388,1
27,191,1
28,18,1
28,483,1
28,16,1
28,79,1
28,191,1
28,234,1
28,352,1
28,398,1
28,387,1
28,25,1
28,122,1
28,181,1
28,481,1
28,447,1
29,366,1
29,486,1
29,24,1
29,493,1
30,24,1
30,39,1
30,102,1
30,103,1
30,73,1
31,74,1
31,352,1
31,494,1
31,16,1
31,18,1
31,19,1
31,24,1
31,25,1
31,39,1
31,81,1
31,187,1
31,199,1
31,496,1
31,498,1
31,502,1
31,509,1
31,510,1
31,511,1
31,516,1
31,517,1
31,519,1
31,210,1
31,285,1
31,309,1
31,507,1
31,195,1
31,447,1
31,495,1
31,497,1
31,499,1
31,500,1
31,503,1
31,506,1
31,508,1
31,512,1
31,514,1
31,515,1
31,33,1
31,121,1
31,513,1
31,520,1
31,501,1
31,504,1
31,505,1
31,17,1
31,21,1
31,14,1
31,521,1
32,285,1
32,523,1
32,199,1
32,398,1
32,500,1
32,134,1
32,216,1
32,524,1
33,85,1
33,76,1
33,61,1
33,170,1
33,87,1
33,387,1
33,537,1
33,512,1
33,526,1
33,73,1
33,527,1
33,535,1
33,528,1
33,191,1
33,530,1
33,32,1
34,83,1
34,184,1
34,139,1
35,14,1
35,292,1
35,541,1
35,83,1
35,195,1
35,296,1
35,30,1
35,535,1
35,544,1
35,545,1
35,15,1
35,33,1
